brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,turbo,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,price,avg_mpg,car_age,reliability_rating
Nissan,Titan XD SV,2017,70204,5.0L V8 32V DDI DOHC Turbo Diesel,5,6-Speed Automatic,1,Diesel,Four-wheel Drive,14,19,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,29000,16.5,8,75
Lexus,IS 300 Base,2020,31570,3.5L V6 24V PDI DOHC,3.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,16,24,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,35077,20,5,
Jaguar,E-PACE P250 SE,2022,3644,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Four-wheel Drive,22,27,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,46333,24.5,3,
Ford,F-150 XLT,2022,12643,2.7L V6 24V PDI DOHC Twin Turbo,2.7,10-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,46518,24.42130239915634,3,86
Volvo,XC70 T6,2011,114521,3.0L I6 24V MPFI DOHC Turbo,3,6-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,13991,24.42130239915634,14,82
MINI,Cooper Base (M5),2005,85154,1.6L I4 16V MPFI SOHC,1.6,Manual,0,Gasoline,Front-wheel Drive,25,34,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,6499,29.5,20,
Mitsubishi,Outlander PHEV SEL,2021,13366,2.4L I4 16V MPFI DOHC Hybrid,2.4,1-Speed Automatic,1,Hybrid,Four-wheel Drive,20.92617980490377,27.91642499340891,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,26177,24.42130239915634,4,
Porsche,Macan GTS,2020,13750,2.9L V6 24V GDI DOHC Twin Turbo,2.9,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,19,23,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,69900,21,5,78
BMW,X6 M Base,2023,4342,4.4L V8 32V GDI DOHC Twin Turbo,4.4,Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,120995,24.42130239915634,2,84
Mazda,CX-50 2.5 Turbo Premium Plus Package,2023,8826,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,24,30,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,39873,27,2,70
Hyundai,Sonata Limited,2017,43637,2.4L I4 16V GDI DOHC,2.4,6-Speed Automatic,1,Gasoline,Front-wheel Drive,22,25,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,19677,23.5,8,81
Kia,Carnival SX,2022,22512,"3.5L V-6 port/direct injection, DOHC, CVVT variable valve contro",3.5,Automatic,1,Gasoline,Front-wheel Drive,20.92617980490377,27.91642499340891,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,40888,24.42130239915634,3,75
FIAT,124 Spider Abarth,2018,67370,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,26,35,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,20910,30.5,7,
Honda,Odyssey EX-L,2020,21529,3.5L V6 24V GDI SOHC,3.5,10-Speed Automatic,1,Gasoline,Front-wheel Drive,19,28,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,36256,23.5,5,70
Mercedes-Benz,AMG GLA 35 Base,2021,32644,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,40488,24.42130239915634,4,
Land,Rover Range Rover Supercharged,2014,64629,Engine: 5.0L V8 Supercharged -inc: dual independent variable cam,5,Automatic,1,E85 Flex Fuel,Four-wheel Drive,16,21,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,41499,18.5,11,
Audi,RS 5 2.9T,2019,20813,2.9L V6 24V GDI DOHC Twin Turbo,2.9,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,27,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,59500,22.5,6,
Honda,Civic Si Base,2019,79935,1.5L I4 16V GDI DOHC Turbo,1.5,6-Speed Manual,0,Gasoline,Front-wheel Drive,28,38,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,24000,33,6,
Lexus,LC 500 Base,2018,8356,5.0L V8 32V PDI DOHC,5,10-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,27,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,74500,22,7,
